Drug Name,File,Field Count,Has 14 Fields,Missing Fields,Status
Hydralazine,drug_modules\cardiovascular\vasodilators.py,23,Yes,None,Complete
Hydrochlorothiazide,drug_modules\cardiovascular\diuretics.py,25,Yes,None,Complete
Hydrocodone,drug_modules\analgesics\opioid_agonists.py,23,Yes,None,Complete
Hydrocortisone,drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py,22,Yes,None,Complete
Hydrocortisone topical,drug_modules\dermatology.py,25,Yes,None,Complete
Hydromorphone,drug_modules\analgesics\opioid_agonist_strongs.py,25,Yes,None,Complete
Hydroxychloroquine,drug_modules\infectious_other\antimalarials.py,23,Yes,None,Complete
Hydroxyzine,drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py,24,Yes,None,Complete
Hyoscine butylbromide,drug_modules\gastrointestinal\antispasmodics.py,25,Yes,None,Complete
Ibandronate,drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py,24,Yes,None,Complete
Ibuprofen,drug_modules\analgesics\nsaids.py,29,Yes,None,Complete
Ibutilide,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Icosapent ethyl,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Idarucizumab,drug_modules\hematology.py,26,Yes,None,Complete
Ifosfamide,drug_modules\oncology\alkylating_agents.py,23,Yes,None,Complete
Ilaprazole,drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py,24,Yes,None,Complete
Imatinib,drug_modules\oncology\targeted_therapy_tkis.py,23,Yes,None,Complete
Imipenem-cilastatin,drug_modules\antimicrobial\antibiotics\beta_lactams.py,31,Yes,None,Complete
Inclisiran,drug_modules\cardiovascular\pcsk9_inhibitors.py,22,Yes,None,Complete
Indacaterol,drug_modules\respiratory\long_acting_beta_2_agonist_labas.py,23,Yes,None,Complete
Indapamide,drug_modules\cardiovascular\diuretics.py,22,Yes,None,Complete
Indomethacin,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Infliximab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Insulin,drug_modules\diabetes\insulins.py,26,Yes,None,Complete
Insulin Aspart,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Degludec,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Detemir,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Glargine,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Glulisine,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Lispro,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin NPH,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Insulin Regular,drug_modules\diabetes\specific_insulins.py,24,Yes,None,Complete
Ipratropium,drug_modules\respiratory\anticholinergic_short_actings.py,23,Yes,None,Complete
Ipratropium/Salbutamol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Irbesartan,drug_modules\cardiovascular\arbs.py,26,Yes,None,Complete
Irinotecan,drug_modules\oncology\topoisomerase_inhibitors.py,23,Yes,None,Complete
Iron,drug_modules\supportive\irons.py,25,Yes,None,Complete
Isavuconazole,drug_modules\antimicrobial\antifungals\azoles.py,25,Yes,None,Complete
Isoniazid,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Isosorbide mononitrate,drug_modules\cardiovascular\vasodilators.py,23,Yes,None,Complete
Isradipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,27,Yes,None,Complete
Istradefylline,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Itraconazole,drug_modules\antimicrobial\antifungals\azoles.py,26,Yes,None,Complete
Ivabradine,drug_modules\cardiovascular\other_cv.py,27,Yes,None,Complete
Ivermectin,drug_modules\infectious_other\anthelmintics.py,26,Yes,None,Complete
Ivermectin cream,drug_modules\dermatology.py,23,Yes,None,Complete
Ixekizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Ketamine,drug_modules\supportive\sedatives_anesthetics_icu.py,26,Yes,None,Complete
Ketoconazole topical,drug_modules\dermatology.py,23,Yes,None,Complete
Ketoprofen,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Ketoprofen gel,drug_modules\dermatology.py,23,Yes,None,Complete
Ketorolac,drug_modules\analgesics\nsaids.py,25,Yes,None,Complete
Ketorolac eye drops,drug_modules\ophthalmology.py,24,Yes,None,Complete
Ketotifen eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Labetalol,drug_modules\cardiovascular\other_cv.py,27,Yes,None,Complete
Lacidipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,22,Yes,None,Complete
Lacosamide,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
Lactulose,drug_modules\gastrointestinal\laxatives.py,25,Yes,None,Complete
Lamivudine (3TC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Lamotrigine,drug_modules\neurological\anticonvulsants.py,22,Yes,None,Complete
Lanadelumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Lansoprazole,drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py,23,Yes,None,Complete
Lasmiditan,drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py,24,Yes,None,Complete
Latanoprost,drug_modules\ophthalmology.py,23,Yes,None,Complete
Lecanemab,drug_modules\neurological\alzheimer_dementia_drugs.py,24,Yes,None,Complete
Ledipasvir,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Lefamulin,drug_modules\antimicrobial\antibiotics\others.py,23,Yes,None,Complete
Leflunomide,drug_modules\miscellaneous\dmards_rheumatology.py,24,Yes,None,Complete
Levamisole,drug_modules\infectious_other\anthelmintics.py,24,Yes,None,Complete
Levetiracetam,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
Levocetirizine,drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py,24,Yes,None,Complete
Levodopa/Carbidopa,drug_modules\neurological\antiparkinsonian.py,22,Yes,None,Complete
Levofloxacin,drug_modules\antimicrobial\antibiotics\fluoroquinolones.py,34,Yes,None,Complete
Levonorgestrel,drug_modules\obstetrics_gynecology.py,23,Yes,None,Complete
Levothyroxine,drug_modules\metabolic\thyroid_hormones.py,23,Yes,None,Complete
Lidocaine,drug_modules\emergency\local_anesthetic__antiarrhythmic_class_ibs.py,23,Yes,None,Complete
Linagliptin,drug_modules\diabetes\dpp_4_inhibitors.py,25,Yes,None,Complete
Linezolid,drug_modules\antimicrobial\antibiotics\oxazolidinones.py,31,Yes,None,Complete
Linezolid (lao MDR/XDR),drug_modules\infectious_other\antituberculars.py,24,Yes,None,Complete
Liraglutide,drug_modules\diabetes\glp1_agonists.py,26,Yes,None,Complete
Lisdexamfetamine,drug_modules\psychiatry_other\adhd_anxiolytics.py,23,Yes,None,Complete
Lisinopril,drug_modules\cardiovascular\ace_inhibitors.py,30,Yes,None,Complete
Lisinopril/Hydrochlorothiazide,drug_modules\cardiovascular\fixed_dose_combinations.py,24,Yes,None,Complete
Loperamide,drug_modules\gastrointestinal\antidiarrheals.py,23,Yes,None,Complete
Loratadine,drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py,22,Yes,None,Complete
Loratadine/Pseudoephedrine,drug_modules\ent_oral_nasal_combinations.py,23,Yes,None,Complete
Lorazepam,drug_modules\neurological\benzodiazepines.py,23,Yes,None,Complete
Losartan,drug_modules\cardiovascular\arbs.py,30,Yes,None,Complete
Losartan/Hydrochlorothiazide,drug_modules\cardiovascular\fixed_dose_combinations.py,24,Yes,None,Complete
Lovastatin,drug_modules\cardiovascular\statins.py,26,Yes,None,Complete
Lurasidone,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Magnesium oxide,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Magnesium sulfate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Mebendazole,drug_modules\infectious_other\anthelmintics.py,23,Yes,None,Complete
Mebeverine,drug_modules\gastrointestinal\antispasmodics.py,25,Yes,None,Complete
Medroxyprogesterone,drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Meloxicam,drug_modules\analgesics\nsaids.py,25,Yes,None,Complete
Memantine,drug_modules\neurological\alzheimer_dementia_drugs.py,23,Yes,None,Complete
Meperidine,drug_modules\analgesics\opioid_agonist_strongs.py,24,Yes,None,Complete
Mepolizumab,drug_modules\respiratory\respiratory_biologics.py,23,Yes,None,Complete
Meropenem,drug_modules\antimicrobial\antibiotics\beta_lactams.py,26,Yes,None,Complete
Mesalazine,drug_modules\gastrointestinal\ibd_5asa.py,24,Yes,None,Complete
Metaxalone,drug_modules\neurological\muscle_relaxants.py,22,Yes,None,Complete
Metformin,drug_modules\diabetes\biguanides.py,29,Yes,None,Complete
Metformin/Dapagliflozin,drug_modules\diabetes\fixed_dose_combinations.py,24,Yes,None,Complete
Metformin/Empagliflozin,drug_modules\diabetes\fixed_dose_combinations.py,24,Yes,None,Complete
Metformin/Glibenclamide,drug_modules\diabetes\fixed_dose_combinations.py,23,Yes,None,Complete
Metformin/Pioglitazone,drug_modules\diabetes\fixed_dose_combinations.py,23,Yes,None,Complete
Metformin/Sitagliptin,drug_modules\diabetes\fixed_dose_combinations.py,24,Yes,None,Complete
Methadone,drug_modules\analgesics\opioid_agonist_strongs.py,24,Yes,None,Complete
Methimazole,drug_modules\metabolic\antithyroid.py,23,Yes,None,Complete
Methocarbamol,drug_modules\neurological\muscle_relaxants.py,22,Yes,None,Complete
Methotrexate,drug_modules\miscellaneous\dmards_rheumatology.py,24,Yes,None,Complete
Methyldopa,drug_modules\cardiovascular\other_cv.py,23,Yes,None,Complete
Methylergonovine,drug_modules\emergency\uterotonics.py,23,Yes,None,Complete
Methylphenidate,drug_modules\psychiatry_other\adhd_anxiolytics.py,23,Yes,None,Complete
Methylprednisolone,drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py,22,Yes,None,Complete
Metoclopramide,drug_modules\gastrointestinal\prokinetic_antiemetics.py,23,Yes,None,Complete
Metoprolol,drug_modules\cardiovascular\beta_blockers\selective.py,29,Yes,None,Complete
Metronidazole,drug_modules\infectious_other\nitroimidazoles.py,24,Yes,None,Complete
Metronidazole (vaginal gel),drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Metronidazole topical,drug_modules\dermatology.py,23,Yes,None,Complete
Micafungin,drug_modules\antimicrobial\antifungals\echinocandins.py,25,Yes,None,Complete
Miconazole (vaginal),drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Miconazole topical,drug_modules\dermatology.py,23,Yes,None,Complete
Miconazole/Hydrocortisone topical,drug_modules\dermatology.py,24,Yes,None,Complete
Midazolam (IV/ICU),drug_modules\supportive\sedatives_anesthetics_icu.py,26,Yes,None,Complete
Miglitol,drug_modules\diabetes\alpha_glucosidase_inhibitors.py,23,Yes,None,Complete
Milrinone,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,25,Yes,None,Complete
Minocycline,drug_modules\antimicrobial\antibiotics\tetracyclines.py,27,Yes,None,Complete
Mirabegron,drug_modules\urology.py,24,Yes,None,Complete
Mirtazapine,drug_modules\psychiatry_other\antidepressants.py,23,Yes,None,Complete
Misoprostol,drug_modules\gastrointestinal\mucosal_protectants.py,23,Yes,None,Complete
Mometasone topical,drug_modules\dermatology.py,23,Yes,None,Complete
Montelukast,drug_modules\respiratory\leukotriene_receptor_antagonists.py,24,Yes,None,Complete
Morphine,drug_modules\analgesics\opioid_agonist_strongs.py,25,Yes,None,Complete
Moxifloxacin,drug_modules\antimicrobial\antibiotics\fluoroquinolones.py,31,Yes,None,Complete
Moxifloxacin eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Mupirocin topical,drug_modules\dermatology.py,23,Yes,None,Complete
Mycophenolate,drug_modules\miscellaneous\immunosuppressants.py,23,Yes,None,Complete
Nadolol,drug_modules\cardiovascular\beta_blockers\non_selective.py,23,Yes,None,Complete
Nafcillin,drug_modules\antimicrobial\antibiotics\penicillins.py,19,Yes,None,Complete
Naloxone,drug_modules\emergency\opioid_antagonists.py,23,Yes,None,Complete
Naltrexone,drug_modules\emergency\opioid_antagonists.py,23,Yes,None,Complete
Naproxen,drug_modules\analgesics\nsaids.py,25,Yes,None,Complete
Natalizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Nateglinide,drug_modules\diabetes\meglitinides.py,23,Yes,None,Complete
Nebivolol,drug_modules\cardiovascular\beta_blockers\selective.py,26,Yes,None,Complete
Nedocromil,drug_modules\respiratory\leukotriene_receptor_antagonists.py,24,Yes,None,Complete
Nepafenac eye drops,drug_modules\ophthalmology.py,24,Yes,None,Complete
Nesiritide,drug_modules\cardiovascular\vasodilators.py,23,Yes,None,Complete
Niacin,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Nicardipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,23,Yes,None,Complete
Nicergoline,drug_modules\neurological\cerebral_circulation.py,25,Yes,None,Complete
Nifedipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,26,Yes,None,Complete
Nimesulide,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Nimodipine,drug_modules\neurological\cerebral_circulation.py,25,Yes,None,Complete
Nisoldipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,23,Yes,None,Complete
Nitrofurantoin,drug_modules\antimicrobial\antibiotics\others.py,26,Yes,None,Complete
Nitroglycerin,drug_modules\cardiovascular\vasodilators.py,23,Yes,None,Complete
Nitroprusside,drug_modules\cardiovascular\vasodilators.py,23,Yes,None,Complete
Nivolumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Norepinephrine,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,21,Yes,None,Complete
Norfloxacin,drug_modules\antimicrobial\antibiotics\fluoroquinolones.py,16,Yes,None,Complete
Nystatin,drug_modules\antimicrobial\antifungals\polyenes.py,23,Yes,None,Complete
Ocrelizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Ofatumumab,drug_modules\neurological\multiple_sclerosis_drugs.py,24,Yes,None,Complete
Ofloxacin,drug_modules\antimicrobial\antibiotics\fluoroquinolones.py,16,Yes,None,Complete
Olanzapine,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Olanzapine/Fluoxetine,drug_modules\neurological\neurological_combinations.py,25,Yes,None,Complete
Olmesartan,drug_modules\cardiovascular\arbs.py,26,Yes,None,Complete
Olodaterol,drug_modules\respiratory\long_acting_beta_2_agonist_labas.py,23,Yes,None,Complete
Olopatadine eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Omadacycline,drug_modules\antimicrobial\antibiotics\others.py,23,Yes,None,Complete
Omalizumab,drug_modules\respiratory\respiratory_biologics.py,23,Yes,None,Complete
Omega-3 acid ethyl esters,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Omeprazole,drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py,26,Yes,None,Complete
Ondansetron,drug_modules\gastrointestinal\antiemetic_5_ht3_antagonists.py,23,Yes,None,Complete
Opicapone,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Oseltamivir,drug_modules\antimicrobial\antivirals\influenza.py,24,Yes,None,Complete
Oxacillin,drug_modules\antimicrobial\antibiotics\penicillins.py,19,Yes,None,Complete
Oxaliplatin,drug_modules\oncology\platinum_compounds.py,24,Yes,None,Complete
Oxcarbazepine,drug_modules\neurological\anticonvulsants.py,26,Yes,None,Complete
Oxybutynin,drug_modules\urology.py,24,Yes,None,Complete
Oxycodone,drug_modules\analgesics\opioid_agonist_strongs.py,23,Yes,None,Complete
Oxytocin,drug_modules\emergency\uterotonics.py,24,Yes,None,Complete
PAS (para-aminosalicylic acid),drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Paclitaxel,drug_modules\oncology\taxanes.py,23,Yes,None,Complete
Palonosetron,drug_modules\oncology\anti_emetic_5_ht3_antagonists.py,23,Yes,None,Complete
Pamidronate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Pantoprazole,drug_modules\gastrointestinal\proton_pump_inhibitors.py,26,Yes,None,Complete
Paracetamol,drug_modules\analgesics\analgesic_antipyretic.py,27,Yes,None,Complete
Paracetamol/Carisoprodol,drug_modules\analgesics\pain_muscle_relaxant_combinations.py,23,Yes,None,Complete
Paracetamol/Chlorzoxazone,drug_modules\analgesics\pain_muscle_relaxant_combinations.py,23,Yes,None,Complete
Paracetamol/Methocarbamol,drug_modules\analgesics\pain_muscle_relaxant_combinations.py,23,Yes,None,Complete
Paracetamol/Orphenadrine,drug_modules\analgesics\pain_muscle_relaxant_combinations.py,23,Yes,None,Complete
Paroxetine,drug_modules\psychiatry_other\ssris.py,24,Yes,None,Complete
Pemafibrate,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Pembrolizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Penicillin G,drug_modules\antimicrobial\antibiotics\beta_lactams.py,27,Yes,None,Complete
Penicillin V,drug_modules\infectious_other\beta_lactams.py,24,Yes,None,Complete
Perampanel,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
Perindopril,drug_modules\cardiovascular\ace_inhibitors.py,26,Yes,None,Complete
Permethrin topical,drug_modules\dermatology.py,23,Yes,None,Complete
Phenelzine,drug_modules\psychiatry_other\antidepressants.py,23,Yes,None,Complete
Phenobarbital,drug_modules\neurological\anticonvulsants.py,27,Yes,None,Complete
Phenylephrine,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,25,Yes,None,Complete
Phenylephrine eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Phenytoin,drug_modules\neurological\anticonvulsants.py,27,Yes,None,Complete
Pilocarpine eye drops,drug_modules\ophthalmology.py,24,Yes,None,Complete
Pimavanserin,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Pimecrolimus,drug_modules\dermatology.py,24,Yes,None,Complete
Pimozide,drug_modules\psychiatry_other\antipsychotics.py,23,Yes,None,Complete
Pioglitazone,drug_modules\diabetes\thiazolidinedione_tzds.py,23,Yes,None,Complete
Piperacillin-tazobactam,drug_modules\antimicrobial\antibiotics\beta_lactams.py,27,Yes,None,Complete
Piracetam,drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Piracetam/Vinpocetine,drug_modules\neurological\neurological_combinations.py,25,Yes,None,Complete
Piroxicam,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Pitavastatin,drug_modules\cardiovascular\statins.py,26,Yes,None,Complete
Plazomicin,drug_modules\antimicrobial\antibiotics\aminoglycosides.py,23,Yes,None,Complete
Plozasiran,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Polyethylene glycol 3350,drug_modules\gastrointestinal\laxatives.py,25,Yes,None,Complete
Polymyxin B,drug_modules\antimicrobial\antibiotics\polymyxins.py,26,Yes,None,Complete
Polymyxin B/Trimethoprim eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Posaconazole,drug_modules\antimicrobial\antifungals\azoles.py,26,Yes,None,Complete
Potassium phosphate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Pramipexole,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Prasugrel,drug_modules\cardiovascular\anticoagulants.py,27,Yes,None,Complete
Pravastatin,drug_modules\cardiovascular\statins.py,29,Yes,None,Complete
Praziquantel,drug_modules\infectious_other\anthelmintics.py,24,Yes,None,Complete
Prednisolone,drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py,22,Yes,None,Complete
Prednisolone eye drops,drug_modules\ophthalmology.py,26,Yes,None,Complete
Prednisone,drug_modules\metabolic\corticosteroids.py,24,Yes,None,Complete
Pregabalin,drug_modules\neurological\anticonvulsant_alpha_2_delta_ligands.py,23,Yes,None,Complete
Primaquine,drug_modules\infectious_other\antimalarials.py,25,Yes,None,Complete
Primidone,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
Probenecid,drug_modules\miscellaneous\gout_medications.py,24,Yes,None,Complete
Procainamide,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Progesterone,drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Propafenone,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Propofol,drug_modules\supportive\sedatives_anesthetics_icu.py,26,Yes,None,Complete
Propranolol,drug_modules\cardiovascular\beta_blockers\non_selective.py,26,Yes,None,Complete
Propylthiouracil,drug_modules\metabolic\antithyroid.py,23,Yes,None,Complete
Protamine,drug_modules\hematology.py,26,Yes,None,Complete
Pyrazinamide,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Quetiapine,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Quinidine,drug_modules\cardiovascular\antiarrhythmics.py,23,Yes,None,Complete
Rabeprazole,drug_modules\gastrointestinal\proton_pump_inhibitors.py,23,Yes,None,Complete
Raloxifene,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Ramipril,drug_modules\cardiovascular\ace_inhibitors.py,26,Yes,None,Complete
Ranitidine,drug_modules\gastrointestinal\h2_receptor_antagonists.py,22,Yes,None,Complete
Ravulizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Remdesivir,drug_modules\antimicrobial\antivirals\influenza.py,29,Yes,None,Complete
Repaglinide,drug_modules\diabetes\meglitinides.py,23,Yes,None,Complete
Reslizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Ribavirin,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Rifabutin,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Rifampin,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Rifapentine,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Rilpivirine (RPV),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Rimegepant,drug_modules\neurological\migraine_cgrp_drugs.py,23,Yes,None,Complete
Risankizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Risedronate,drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py,24,Yes,None,Complete
Risperidone,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Ritonavir (low-dose booster),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Rituximab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Rivaroxaban,drug_modules\cardiovascular\anticoagulants.py,26,Yes,None,Complete
Rivastigmine,drug_modules\neurological\alzheimer_dementia_drugs.py,23,Yes,None,Complete
Rizatriptan,drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py,23,Yes,None,Complete
Rocuronium,drug_modules\emergency\neuromuscular_blockers.py,25,Yes,None,Complete
Roflumilast,drug_modules\respiratory\pde4_inhibitors.py,23,Yes,None,Complete
Romiplostim,drug_modules\hematology.py,26,Yes,None,Complete
Romosozumab,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Ropinirole,drug_modules\neurological\antiparkinsonian.py,22,Yes,None,Complete
Rosiglitazone,drug_modules\diabetes\thiazolidinedione_tzds.py,23,Yes,None,Complete
Rosuvastatin,drug_modules\cardiovascular\statins.py,29,Yes,None,Complete
Sacituzumab govitecan,drug_modules\oncology\monoclonal_antibodies_adcs.py,24,Yes,None,Complete
Sacubitril-valsartan,drug_modules\cardiovascular\other_cv.py,29,Yes,None,Complete
Safinamide,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Salbutamol,drug_modules\miscellaneous\beta_2_agonist_short_actings.py,23,Yes,None,Complete
Salicylic Acid,drug_modules\dermatology.py,23,Yes,None,Complete
Salmeterol,drug_modules\respiratory\long_acting_beta_2_agonist_labas.py,23,Yes,None,Complete
Sarilumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Saxagliptin,drug_modules\diabetes\dpp_4_inhibitors.py,25,Yes,None,Complete
Secukinumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Semaglutide,drug_modules\diabetes\glp1_agonists.py,26,Yes,None,Complete
Senna (sennosides),drug_modules\gastrointestinal\laxatives.py,25,Yes,None,Complete
Sertraline,drug_modules\psychiatry_other\ssris.py,24,Yes,None,Complete
Sildenafil,drug_modules\urology.py,26,Yes,None,Complete
Silodosin,drug_modules\urology.py,25,Yes,None,Complete
Simethicone,drug_modules\gastrointestinal\antiflatulents.py,24,Yes,None,Complete
Simvastatin,drug_modules\cardiovascular\statins.py,26,Yes,None,Complete
Sitagliptin,drug_modules\diabetes\dpp_4_inhibitors.py,29,Yes,None,Complete
Sodium bicarbonate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Sodium phosphate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Sodium polystyrene sulfonate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Sofosbuvir,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Sofosbuvir/Velpatasvir,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Solifenacin,drug_modules\urology.py,26,Yes,None,Complete
Sotagliflozin,drug_modules\cardiovascular\other_cv.py,24,Yes,None,Complete
Sotalol,drug_modules\cardiovascular\antiarrhythmics.py,23,Yes,None,Complete
Sparfloxacin,drug_modules\infectious_other\fluoroquinolones.py,23,Yes,None,Complete
Spironolactone,drug_modules\cardiovascular\diuretics.py,30,Yes,None,Complete
Streptomycin,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Succinylcholine,drug_modules\emergency\neuromuscular_blockers.py,25,Yes,None,Complete
Sucralfate,drug_modules\gastrointestinal\mucosal_protectants.py,23,Yes,None,Complete
Sulfasalazine,drug_modules\gastrointestinal\ibd_5asa.py,24,Yes,None,Complete
Sumatriptan,drug_modules\analgesics\antimigraine_5_ht1_receptor_agonists.py,23,Yes,None,Complete
Tacrolimus,drug_modules\miscellaneous\immunosuppressants.py,25,Yes,None,Complete
Tacrolimus topical,drug_modules\dermatology.py,26,Yes,None,Complete
Tadalafil,drug_modules\urology.py,26,Yes,None,Complete
Tamoxifen,drug_modules\oncology\hormone_therapy.py,23,Yes,None,Complete
Tamsulosin,drug_modules\urology.py,25,Yes,None,Complete
Tapentadol,drug_modules\analgesics\opioid_agonists.py,23,Yes,None,Complete
Tazarotene,drug_modules\dermatology.py,23,Yes,None,Complete
Tegoprazan,drug_modules\gastrointestinal\pcab.py,22,Yes,None,Complete
Teicoplanin,drug_modules\antimicrobial\antibiotics\glycopeptides.py,26,Yes,None,Complete
Telmisartan,drug_modules\cardiovascular\arbs.py,30,Yes,None,Complete
Tenecteplase,drug_modules\hematology.py,25,Yes,None,Complete
Tenofovir,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Tenofovir alafenamide (TAF),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Tenofovir alafenamide/Emtricitabine (TAF/FTC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Tenofovir disoproxil fumarate (TDF),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Tenofovir disoproxil fumarate/Emtricitabine (TDF/FTC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Teplizumab,drug_modules\diabetes\t1dm_prevention.py,23,Yes,None,Complete
